"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","red1","red2","red3","red_score","red_score_breakdown","blue1","blue2","blue3","blue_score","blue_score_breakdown"
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm35","qm","1","35","frc1187","frc1617","frc1676","10","","frc1367","frc1495","frc613","17",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm36","qm","1","36","frc1931","frc869","frc87","6","","frc1156","frc1382","frc563","18",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm37","qm","1","37","frc224","frc555","frc637","11","","frc1366","frc1923","frc75","12",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm38","qm","1","38","frc1860","frc1881","frc41","1","","frc1811","frc1882","frc522","24",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm39","qm","1","39","frc1218","frc136","frc1689","17","","frc1228","frc1302","frc896","9",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm40","qm","1","40","frc223","frc550","frc88","18","","frc1279","frc1600","frc1616","10",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm41","qm","1","41","frc103","frc11","frc303","55","","frc1089","frc375","frc381","72",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm42","qm","1","42","frc1563","frc1807","frc56","56","","frc1048","frc1672","frc219","12",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm43","qm","1","43","frc1187","frc1626","frc25","83","","frc224","frc433","frc563","50",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm44","qm","1","44","frc293","frc41","frc486","59","","frc1367","frc1382","frc335","16",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm45","qm","1","45","frc1689","frc1882","frc1923","19","","frc136","frc1617","frc225","29",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm46","qm","1","46","frc1218","frc1616","frc522","25","","frc1403","frc637","frc714","53",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm47","qm","1","47","frc1156","frc303","frc88","41","","frc1676","frc1860","frc381","43",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm48","qm","1","48","frc1495","frc1563","frc223","35","","frc102","frc1089","frc1366","71",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm49","qm","1","49","frc1048","frc1257","frc550","4","","frc11","frc555","frc87","50",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm50","qm","1","50","frc1672","frc1881","frc896","0","","frc1279","frc528","frc613","38",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm51","qm","1","51","frc375","frc56","frc869","30","","frc1302","frc219","frc48","12",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm52","qm","1","52","frc1412","frc1813","frc1931","1","","frc1228","frc1811","frc75","26",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm53","qm","1","53","frc103","frc1600","frc1807","61","","frc1218","frc224","frc486","46",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm54","qm","1","54","frc1689","frc293","frc381","15","","frc1187","frc223","frc433","22",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm55","qm","1","55","frc1048","frc1882","frc637","7","","frc1089","frc1367","frc88","28",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm56","qm","1","56","frc1923","frc528","frc87","51","","frc1563","frc303","frc41","52",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm57","qm","1","57","frc1403","frc56","frc563","66","","frc1156","frc1279","frc136","30",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm58","qm","1","58","frc48","frc550","frc75","29","","frc1811","frc225","frc613","23",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm59","qm","1","59","frc1302","frc1495","frc714","8","","frc1257","frc1382","frc25","80",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm60","qm","1","60","frc11","frc1412","frc219","14","","frc102","frc1676","frc1881","30",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm61","qm","1","61","frc1616","frc1807","frc1931","35","","frc1860","frc375","frc896","48",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm62","qm","1","62","frc1366","frc1672","frc1813","8","","frc103","frc1626","frc335","56",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm63","qm","1","63","frc1617","frc522","frc555","0","","frc1228","frc1600","frc869","30",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm64","qm","1","64","frc1689","frc56","frc75","28","","frc1187","frc1403","frc486","36",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm65","qm","1","65","frc1882","frc303","frc550","4","","frc1218","frc293","frc563","46",""
"2006nj","New Jersey","2006-03-02","2006-03-04","2006nj_qm66","qm","1","66","frc1048","frc1881","frc714","6","","frc136","frc223","frc41","38",""
