"key","number","name","city","state_prov","country","rookie_year"
"frc1922","1922","Oz-Ram","Contoocook","New Hampshire","USA","2006"
"frc1923","1923","The MidKnight Inventors","Plainsboro","New Jersey","USA","2006"
"frc1927","1927","Tempest","Biloxi","Mississippi","USA","2006"
"frc193","193","MORT Beta","Flanders","New Jersey","USA","1997"
"frc1937","1937","Elysium","Modi'in-Maccabim Reu't","HaMerkaz","Israel","2006"
"frc1939","1939","THE KUHNIGHTS","Kansas City","Missouri","USA","2006"
"frc1940","1940","Tech Tigers 1940","Benton Harbor","Michigan","USA","2006"
"frc1942","1942","Cinderella Tel-Nof","Gadera","HaMerkaz","Israel","2006"
"frc1943","1943","Neat Team","rosh ha'ayin","HaMerkaz","Israel","2006"
"frc1944","1944","Airforce High School","Haifa","Haifa","Israel","2006"
"frc195","195","CyberKnights","Southington","Connecticut","USA","1998"
